"ciclo","nivel","timestamp","no_cilindro_umol_mol","u_no_cilindro_umol_mol","impureza_no2_nmol_mol","flujo_no_ml_min","u_flujo_no_ml_min","flujo_dilucion_l_min","u_flujo_dilucion_l_min","flujo_o3_l_min","u_flujo_o3_l_min","temperatura_K","u_temperatura_K","presion_kPa","u_presion_kPa","no_generado_nmol_mol","no2_gpt_nmol_mol","lectura_no_nmol_mol","lectura_nox_nmol_mol","lectura_no2_nmol_mol","temperatura_convertidor_C","presion_camara_kPa","caudal_muestra_l_min","observacion"
1,"cero","2026-08-19T08:00:00Z",40,0.08,0.4,0,0.08,9.9625,0.008,0,0.00015,298.03,0.2,101.373,0.1,0,0,-0.04,0.53,0.57,349.2,47.93,0.701,"cero de ciclo"
1,"N040","2026-08-19T08:15:00Z",40,0.08,0.4,40.042,0.08,9.9546,0.008,0.00821,0.00015,298.71,0.2,101.316,0.1,160.25,40.1,120.28,159.6,39.33,349.6,48.12,0.701,"GPT sintética"
1,"N080","2026-08-19T08:30:00Z",40,0.08,0.4,40.06,0.08,9.9591,0.008,0.016,0.00015,297.97,0.2,101.356,0.1,160.25,79.86,80.34,158.29,77.95,350.8,47.89,0.699,"GPT sintética"
1,"N120","2026-08-19T08:45:00Z",40,0.08,0.4,40.126,0.08,9.9661,0.008,0.02401,0.00015,298.27,0.2,101.332,0.1,160.4,120.39,39.84,157.3,117.46,349.7,47.77,0.7,"GPT sintética"
1,"N150","2026-08-19T09:00:00Z",40,0.08,0.4,40.063,0.08,9.9593,0.008,0.02992,0.00015,298.07,0.2,101.324,0.1,160.26,149.64,10.82,156.4,145.58,352.2,47.72,0.702,"GPT sintética"
2,"cero","2026-08-20T08:00:00Z",40,0.08,0.4,0,0.08,9.9624,0.008,0,0.00015,298.12,0.2,101.375,0.1,0,0,0.06,0.83,0.77,349.6,48.19,0.698,"cero de ciclo"
2,"N040","2026-08-20T08:15:00Z",40,0.08,0.4,40.01,0.08,9.968,0.008,0.00796,0.00015,298.05,0.2,101.38,0.1,159.91,40.06,120.11,159.32,39.21,349.6,48,0.702,"GPT sintética"
2,"N080","2026-08-20T08:30:00Z",40,0.08,0.4,39.944,0.08,9.9643,0.008,0.01611,0.00015,298.14,0.2,101.293,0.1,159.71,80.05,79.68,157.45,77.76,350.6,47.96,0.699,"GPT sintética"
2,"N120","2026-08-20T08:45:00Z",40,0.08,0.4,39.986,0.08,9.9547,0.008,0.0238,0.00015,297.63,0.2,101.423,0.1,160.03,120.05,39.77,156.59,116.83,349.3,47.9,0.702,"GPT sintética"
2,"N150","2026-08-20T09:00:00Z",40,0.08,0.4,39.915,0.08,9.9751,0.008,0.03027,0.00015,298.02,0.2,101.248,0.1,159.42,150.48,9.19,155.68,146.49,349.9,48.07,0.698,"GPT sintética"
3,"cero","2026-08-21T08:00:00Z",40,0.08,0.4,0,0.08,9.9555,0.008,0,0.00015,298.28,0.2,101.259,0.1,0,0,-0.13,0.09,0.22,349.9,47.82,0.699,"cero de ciclo"
3,"N040","2026-08-21T08:15:00Z",40,0.08,0.4,39.879,0.08,9.9582,0.008,0.00812,0.00015,298.37,0.2,101.343,0.1,159.55,40.07,119.51,158.52,39.01,347.1,47.66,0.698,"GPT sintética"
3,"N080","2026-08-21T08:30:00Z",40,0.08,0.4,39.817,0.08,9.9622,0.008,0.0164,0.00015,298.3,0.2,101.189,0.1,159.24,79.91,79.02,156.92,77.9,352.2,47.94,0.699,"GPT sintética"
3,"N120","2026-08-21T08:45:00Z",40,0.08,0.4,39.983,0.08,9.9733,0.008,0.02417,0.00015,298.33,0.2,101.326,0.1,159.72,119.76,40.16,156.27,116.11,350.9,48.07,0.702,"GPT sintética"
3,"N150","2026-08-21T09:00:00Z",40,0.08,0.4,39.964,0.08,9.9626,0.008,0.03019,0.00015,298.06,0.2,101.404,0.1,159.82,150.19,9.9,156.13,146.24,347.1,47.96,0.697,"GPT sintética"
