timestamp,ciclo,punto,nivel_nominal,lectura_ref,lectura_uut,T_celda_K,P_celda_kPa,flujo_L_min
2026-05-04T08:00:00Z,1,cero_pre,0,-0.27,0.56,298.51,101.25,0.709
2026-05-04T08:20:00Z,1,nivel,20,19.73,20.44,298.02,101.405,0.691
2026-05-04T08:40:00Z,1,nivel,40,39.63,40.27,298.5,101.329,0.697
2026-05-04T09:00:00Z,1,nivel,70,70.26,69.99,297.89,101.367,0.692
2026-05-04T09:20:00Z,1,nivel,100,99.79,99.68,298.15,101.555,0.699
2026-05-04T09:40:00Z,1,nivel,140,139.22,139.2,298.37,101.488,0.691
2026-05-04T10:00:00Z,1,nivel,180,179.58,178.08,298.21,101.3,0.7
2026-05-04T10:20:00Z,1,cero_post,0,-0.67,0.53,297.9,101.086,0.703
2026-05-05T08:00:00Z,2,cero_pre,0,-0.19,0.3,298.56,101.398,0.693
2026-05-05T08:20:00Z,2,nivel,20,19.75,20.09,298.15,101.48,0.7
2026-05-05T08:40:00Z,2,nivel,40,39.76,39.81,298.55,101.31,0.701
2026-05-05T09:00:00Z,2,nivel,70,69.61,70.41,298.7,101.385,0.695
2026-05-05T09:20:00Z,2,nivel,100,100.15,99.68,298.19,101.287,0.704
2026-05-05T09:40:00Z,2,nivel,140,140.4,139.89,298.22,101.259,0.704
2026-05-05T10:00:00Z,2,nivel,180,179.85,179.29,298.67,101.434,0.694
2026-05-05T10:20:00Z,2,cero_post,0,-0.34,0.47,298.64,101.346,0.694
2026-05-06T08:00:00Z,3,cero_pre,0,-0.51,1.02,298.54,101.112,0.707
2026-05-06T08:20:00Z,3,nivel,20,19.47,20.57,298.27,101.3,0.699
2026-05-06T08:40:00Z,3,nivel,40,39.98,41.12,298.14,101.278,0.705
2026-05-06T09:00:00Z,3,nivel,70,69.5,70.3,298.72,101.455,0.693
2026-05-06T09:20:00Z,3,nivel,100,99.58,100.31,298.16,101.22,0.706
2026-05-06T09:40:00Z,3,nivel,140,139.86,139.88,298.84,101.139,0.695
2026-05-06T10:00:00Z,3,nivel,180,180.36,179.26,298.17,101.436,0.693
2026-05-06T10:20:00Z,3,cero_post,0,0.07,0.39,298.71,101.222,0.705
