componente,magnitud_entrada,valor,unidad,origen,tipo_A_B,distribucion,divisor,coeficiente_sensibilidad,u_estandar_entrada,contribucion_nmol_mol,varianza,participacion_pct,correlacion_grupo,incluida_en_otra_fuente,normativa_o_didactica,observacion
Repetibilidad a concentración,repetibilidad escalada,0.09,nmol/mol,EN 14211:2012 Anexo F,A,normal,1,1,0.09,0.09,0.0081,0.03,canales,NO,normativa,"Valor reconstruido del ejemplo informativo; participacion_pct calculado dentro del subconjunto de 6 filas EN 14211 de este CSV (no es el total de 18 filas de plantilla_presupuesto_nox.R)"
Falta de ajuste,residuo máximo,1.56,nmol/mol,EN 14211:2012 Anexo F,B,rectangular,1.732050808,1,0.90,0.90,0.81,2.99,ajuste,NO,normativa,1.5 % de 104 dividido por raíz de 3
Promediación,efecto máximo,4.68,nmol/mol,EN 14211:2012 Anexo F,B,rectangular,1.732050808,1,2.70,2.70,7.29,26.87,tiempo,NO,normativa,4.5 % de 104 dividido por raíz de 3
Reproducibilidad de campo,reproducibilidad,3.224,nmol/mol,EN 14211:2012 Anexo F,A,normal,1,1,3.22,3.22,10.3684,38.22,campo,NO,normativa,3.1 % de 104
Eficiencia del convertidor,eficiencia,0.02,fracción,EN 14211:2012 Anexo F,B,normal,1,104,0.02,2.08,4.3264,15.95,convertidor,NO,normativa,"Coeficiente 104 pertenece a la reconstrucción normativa a 104 nmol/mol (defecto D3); no mezclar con el modelo diferencial de caso didáctico, donde el coeficiente correcto es -5.31406"
Gas de calibración,incertidumbre expandida,4,%,EN 14211:2012 Anexo F,B,normal,2,1.04,2.00,2.08,4.3264,15.95,patron,NO,normativa,U=4 % con k=2
Canal NOx,indicación NOx,205,nmol/mol,caso diferencial,A,normal,1,1.030927835,1.2,1.237113402,1.530449580,188.80,canal_compartido,NO,didactica,"Coeficiente +1/eta (defecto D3 corregido); usar con fila Canal NO y covarianza; participacion_pct calculado dentro del subconjunto de 4 filas del caso diferencial (8-11), no junto con las filas EN 14211"
Canal NO,indicación NO,200,nmol/mol,caso diferencial,A,normal,1,-1.030927835,1.0,-1.030927835,1.062812201,131.13,canal_compartido,NO,didactica,Coeficiente -1/eta (defecto D3 corregido); signo requerido para término de covarianza
Eficiencia eta,eficiencia convertidor,0.97,fracción,caso diferencial,B,normal,1,-5.314061005,0.01,-0.053140610,0.002823921,0.35,convertidor,NO,didactica,Coeficiente -(NOx-NO)/eta^2 para diferencia de 5 nmol/mol
Covarianza NOx-NO,covarianza medida (E03),0.84,(nmol/mol)^2,practica/E03_covarianza_no_nox.md,A,empirica,1,-2.125624357,0.84,,-1.785524,-220.29,canal_compartido,NO,didactica,"Término 2*c_NOx*c_NO*cov = 2/eta^2 con signo negativo (defecto D3, B1: coeficiente correcto -2.125624, no -2.125851); u_estandar_entrada contiene la covarianza, no una desviación estándar; contribucion_nmol_mol queda vacía porque el término tiene unidades de varianza; participacion_pct negativa es válida: la covarianza reduce la varianza total del caso diferencial"
