Date Time,NO_UNAL,NO2_UNAL,NOx_UNAL,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1)
 ,ppb,ppb,ppb,ppb,ppb,ppb
07/16/26 23:00,16.940,55.162,72.245,19.825,109.720,129.513
07/16/26 23:01,24.262,132.180,156.143,26.400,148.900,175.283
07/16/26 23:02,29.773,153.466,183.160,29.652,154.652,184.370
07/16/26 23:03,32.003,154.277,186.264,29.983,154.875,184.850
07/16/26 23:04,33.137,154.189,187.323,30.328,154.818,185.105
07/16/26 23:05,33.460,154.045,187.498,30.675,154.625,185.300
07/16/26 23:06,33.483,153.956,187.482,31.033,154.667,185.700
07/16/26 23:07,33.580,154.204,187.751,31.508,154.550,186.058
07/16/26 23:08,33.580,154.353,187.949,31.908,154.635,186.532
07/16/26 23:09,33.920,154.079,187.980,32.267,154.600,186.892
07/16/26 23:10,33.623,154.161,187.804,32.550,154.417,187.035
07/16/26 23:11,34.413,154.037,188.451,32.623,154.477,187.100
07/16/26 23:12,35.130,153.448,188.569,32.700,154.532,187.232
07/16/26 23:13,34.714,154.139,188.870,32.800,154.458,187.292
07/16/26 23:14,34.263,154.461,188.730,32.958,154.483,187.442
07/16/26 23:15,34.190,154.198,188.421,33.078,154.230,187.322
07/16/26 23:16,34.387,154.021,188.421,33.075,154.317,187.383
07/16/26 23:17,34.827,153.851,188.676,33.103,154.322,187.467
07/16/26 23:18,34.680,153.811,188.515,33.200,154.217,187.417
07/16/26 23:19,34.490,154.721,189.203,33.225,154.212,187.457
07/16/26 23:20,34.630,154.535,189.136,33.300,154.233,187.467
07/16/26 23:21,34.380,154.430,188.826,33.275,154.382,187.623
07/16/26 23:22,34.050,154.363,188.390,33.225,154.500,187.758
07/16/26 23:23,34.693,153.863,188.545,33.358,154.457,187.800
07/16/26 23:24,34.897,153.608,188.524,33.400,154.342,187.767
07/16/26 23:25,35.093,153.456,188.527,33.445,154.515,187.962
07/16/26 23:26,34.900,153.658,188.559,33.500,154.542,188.075
07/16/26 23:27,34.507,154.138,188.650,33.500,154.467,187.967
07/16/26 23:28,34.113,154.151,188.273,33.500,154.442,187.942
07/16/26 23:29,34.043,153.936,187.956,33.422,154.453,187.875
07/16/26 23:30,34.390,153.523,187.904,33.317,154.417,187.758
07/16/26 23:31,34.533,153.434,187.996,33.142,154.678,187.842
07/16/26 23:32,34.220,153.789,188.010,33.100,154.483,187.617
07/16/26 23:33,34.097,153.879,187.964,33.055,154.657,187.678
07/16/26 23:34,34.270,154.033,188.305,32.975,154.617,187.558
07/16/26 23:35,33.557,154.642,188.216,32.848,154.578,187.427
07/16/26 23:36,33.213,154.406,187.596,32.842,154.517,187.367
07/16/26 23:37,33.510,153.725,187.252,32.755,154.678,187.412
07/16/26 23:38,34.227,153.903,188.132,32.733,154.792,187.525
07/16/26 23:39,34.300,153.958,188.269,32.675,154.638,187.280
07/16/26 23:40,34.400,153.579,187.972,32.542,154.525,187.100
07/16/26 23:41,34.077,153.809,187.884,32.500,154.600,187.100
07/16/26 23:42,33.147,154.337,187.491,32.475,154.533,187.033
07/16/26 23:43,33.417,154.137,187.550,32.400,154.652,187.075
07/16/26 23:44,33.563,154.104,187.697,32.375,154.400,186.717
07/16/26 23:45,33.470,154.176,187.648,32.222,154.147,186.322
07/16/26 23:46,33.890,154.019,187.898,32.200,154.250,186.475
