Date Time,O3_UNAL,O3 (invitado1)
 ,ppb,ppb
07/15/26 13:30,-0.027,-0.253
07/15/26 13:31,0.278,0.713
07/15/26 13:32,-0.043,1.093
07/15/26 13:33,0.025,0.993
07/15/26 13:34,-0.065,0.940
07/15/26 13:35,-0.035,0.720
07/15/26 13:36,-0.226,1.007
07/15/26 13:37,-0.356,0.307
07/15/26 13:38,-0.424,-1.173
07/15/26 13:39,-0.163,-0.220
07/15/26 13:40,-0.476,1.473
07/15/26 13:41,-0.307,1.147
07/15/26 13:42,-0.365,0.040
07/15/26 13:43,-0.256,0.000
07/15/26 13:44,-0.257,0.353
07/15/26 13:45,-0.303,0.515
07/15/26 13:46,-0.387,0.520
07/15/26 13:47,-0.278,0.093
07/15/26 13:48,-0.283,0.553
07/15/26 13:49,-0.321,0.700
07/15/26 13:50,-0.296,0.080
07/15/26 13:51,-0.335,0.020
07/15/26 13:52,-0.288,-0.613
07/15/26 13:53,-0.523,0.133
07/15/26 13:54,-0.291,0.540
07/15/26 13:55,-0.745,0.820
07/15/26 13:56,-0.645,1.353
07/15/26 13:57,-0.601,0.867
07/15/26 13:58,-0.535,0.240
07/15/26 13:59,-0.892,0.647
07/15/26 14:00,-0.617,0.720
07/15/26 14:01,-0.687,0.640
07/15/26 14:02,-0.759,1.360
07/15/26 14:03,-0.433,1.240
07/15/26 14:04,-0.456,0.773
07/15/26 14:05,-0.107,0.420
07/15/26 14:06,-0.506,-0.013
07/15/26 14:07,-0.398,0.007
07/15/26 14:08,-0.351,0.527
07/15/26 14:09,-0.136,0.720
07/15/26 14:10,-0.488,0.733
07/15/26 14:11,-0.524,0.560
07/15/26 14:12,-0.195,-0.012
07/15/26 14:13,-0.485,0.227
07/15/26 14:14,0.013,0.433
07/15/26 14:15,-0.685,-0.140
07/15/26 14:16,-0.282,-0.353
07/15/26 14:17,-0.360,0.207
07/15/26 14:18,-0.505,-0.100
07/15/26 14:19,-0.272,0.253
07/15/26 14:20,-0.342,0.287
07/15/26 14:21,-0.262,0.440
07/15/26 14:22,-0.075,-0.313
07/15/26 14:23,-0.559,-0.280
07/15/26 14:24,0.068,-0.213
07/15/26 14:25,-0.497,-0.340
07/15/26 14:26,-0.298,-0.413
07/15/26 14:27,-0.187,-0.580
07/15/26 14:28,-0.102,-0.133
07/15/26 14:29,-0.181,-0.427
07/15/26 14:30,-0.157,-0.793
07/15/26 14:31,-0.455,-0.607
07/15/26 14:32,-0.124,-0.267
07/15/26 14:33,-0.475,-0.233
07/15/26 14:34,-0.162,-0.233
07/15/26 14:35,-0.116,-0.007
07/15/26 14:36,-0.288,0.080
07/15/26 14:37,-0.203,0.007
