Date Time,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1),tiempo
07/16/26 08:00,0.188,-0.733,-0.6,00:00
07/16/26 08:01,0.133,-0.7,-0.6,00:01
07/16/26 08:02,0.125,-0.7,-0.512,00:02
07/16/26 08:03,0.142,-0.7,-0.575,00:03
07/16/26 08:04,0.123,-0.723,-0.6,00:04
07/16/26 08:05,0.168,-0.727,-0.6,00:05
07/16/26 08:06,0.167,-0.7,-0.6,00:06
07/16/26 08:07,0.155,-0.7,-0.533,00:07
07/16/26 08:08,0.2,-0.722,-0.522,00:08
07/16/26 08:09,0.178,-0.778,-0.6,00:09
07/16/26 08:10,0.1,-0.7,-0.6,00:10
07/16/26 08:11,0.1,-0.675,-0.575,00:11
07/16/26 08:12,0.1,-0.578,-0.5,00:12
07/16/26 08:13,0.035,-0.5,-0.5,00:13
07/16/26 08:14,0,-0.555,-0.555,00:14
07/16/26 08:15,0,-0.533,-0.6,00:15
07/16/26 08:16,0,-0.5,-0.512,00:16
07/16/26 08:17,0,-0.5,-0.5,00:17
07/16/26 08:18,0,-0.5,-0.5,00:18
07/16/26 08:19,0.075,-0.608,-0.575,00:19
07/16/26 08:20,0.1,-0.633,-0.6,00:20
07/16/26 08:21,0.082,-0.6,-0.525,00:21
07/16/26 08:22,0.1,-0.6,-0.5,00:22
07/16/26 08:23,0.1,-0.6,-0.5,00:23
07/16/26 08:24,0.1,-0.6,-0.5,00:24
07/16/26 08:25,0.1,-0.577,-0.477,00:25
07/16/26 08:26,0.1,-0.557,-0.423,00:26
07/16/26 08:27,0.142,-0.6,-0.448,00:27
07/16/26 08:28,0.2,-0.657,-0.5,00:28
07/16/26 08:29,0.125,-0.625,-0.5,00:29
07/16/26 08:30,0.167,-0.633,-0.5,00:30
07/16/26 08:31,0.175,-0.675,-0.5,00:31
07/16/26 08:32,0.2,-0.7,-0.5,00:32
07/16/26 08:33,0.2,-0.7,-0.5,00:33
07/16/26 08:34,0.257,-0.7,-0.477,00:34
07/16/26 08:35,0.3,-0.667,-0.4,00:35
07/16/26 08:36,0.233,-0.7,-0.457,00:36
07/16/26 08:37,0.3,-0.775,-0.5,00:37
07/16/26 08:38,0.277,-0.8,-0.5,00:38
07/16/26 08:39,0.2,-0.777,-0.5,00:39
07/16/26 08:40,0.2,-0.7,-0.5,00:40
07/16/26 08:41,0.2,-0.7,-0.5,00:41
07/16/26 08:42,0.2,-0.7,-0.533,00:42
07/16/26 08:43,0.143,-0.625,-0.467,00:43
07/16/26 08:44,0.1,-0.6,-0.5,00:44
07/16/26 08:45,0.1,-0.6,-0.5,00:45
07/16/26 08:46,0.1,-0.69,-0.557,00:46
07/16/26 08:47,0.1,-0.7,-0.6,00:47
07/16/26 08:48,0.1,-0.7,-0.6,00:48
07/16/26 08:49,0.058,-0.757,-0.698,00:49
07/16/26 08:50,0,-0.8,-0.8,00:50
07/16/26 08:51,-0.075,-0.725,-0.8,00:51
07/16/26 08:52,-0.157,-0.677,-0.8,00:52
07/16/26 08:53,-0.2,-0.627,-0.883,00:53
07/16/26 08:54,-0.29,-0.6,-0.9,00:54
07/16/26 08:55,-0.3,-0.675,-0.975,00:55
07/16/26 08:56,-0.3,-0.667,-0.967,00:56
07/16/26 08:57,-0.3,-0.648,-0.948,00:57
07/16/26 08:58,-0.243,-0.7,-0.943,00:58
07/16/26 08:59,-0.2,-0.7,-0.9,00:59
07/16/26 09:00,-0.2,-0.7,-0.9,01:00
07/16/26 23:01,26.4,148.9,175.283,01:01
07/16/26 23:02,29.652,154.652,184.37,01:02
07/16/26 23:03,29.983,154.875,184.85,01:03
07/16/26 23:04,30.328,154.818,185.105,01:04
07/16/26 23:05,30.675,154.625,185.3,01:05
07/16/26 23:06,31.033,154.667,185.7,01:06
07/16/26 23:07,31.508,154.55,186.058,01:07
07/16/26 23:08,31.908,154.635,186.532,01:08
07/16/26 23:09,32.267,154.6,186.892,01:09
07/16/26 23:10,32.55,154.417,187.035,01:10
07/16/26 23:11,32.623,154.477,187.1,01:11
07/16/26 23:12,32.7,154.532,187.232,01:12
07/16/26 23:13,32.8,154.458,187.292,01:13
07/16/26 23:14,32.958,154.483,187.442,01:14
07/16/26 23:15,33.078,154.23,187.322,01:15
07/16/26 23:16,33.075,154.317,187.383,01:16
07/16/26 23:17,33.103,154.322,187.467,01:17
07/16/26 23:18,33.2,154.217,187.417,01:18
07/16/26 23:19,33.225,154.212,187.457,01:19
07/16/26 23:20,33.3,154.233,187.467,01:20
07/16/26 23:21,33.275,154.382,187.623,01:21
07/16/26 23:22,33.225,154.5,187.758,01:22
07/16/26 23:23,33.358,154.457,187.8,01:23
07/16/26 23:24,33.4,154.342,187.767,01:24
07/16/26 23:25,33.445,154.515,187.962,01:25
07/16/26 23:26,33.5,154.542,188.075,01:26
07/16/26 23:27,33.5,154.467,187.967,01:27
07/16/26 23:28,33.5,154.442,187.942,01:28
07/16/26 23:29,33.422,154.453,187.875,01:29
07/16/26 23:30,33.317,154.417,187.758,01:30
