Date Time,Serial,Act O3,Target O3
 , ,PPB,PPB
07/15/26 14:00, , , 
07/15/26 14:02, , , 
07/15/26 14:04, , , 
07/15/26 14:06, , , 
07/15/26 14:08, , , 
07/15/26 14:10, , , 
07/15/26 14:12, , , 
07/15/26 14:14, , , 
07/15/26 14:16, , , 
07/15/26 14:18, , , 
07/15/26 14:20, , , 
07/15/26 14:22, , , 
07/15/26 14:24, , , 
07/15/26 14:26, , , 
07/15/26 14:28, , , 
07/15/26 14:30, , , 
07/15/26 14:32, , , 
07/15/26 14:34, , , 
07/15/26 14:36, , , 
07/15/26 14:38, , , 
07/15/26 14:40, , , 
07/15/26 14:42, , , 
07/15/26 14:44, , , 
07/15/26 14:46, , , 
07/15/26 14:48, , , 
07/15/26 14:50, , , 
07/15/26 14:52, , , 
07/15/26 14:54, , , 
07/15/26 14:56, , , 
07/15/26 14:58, , , 
07/15/26 15:00, , , 
07/15/26 15:02, ,144.,180.
07/15/26 15:04, ,179.,180.
07/15/26 15:06, ,180.,180.
07/15/26 15:08, ,180.,180.
07/15/26 15:10, ,180.,180.
07/15/26 15:12, ,180., 
07/15/26 15:14, ,180.,180.
07/15/26 15:16, ,180.,180.
07/15/26 15:18, ,180.,180.
07/15/26 15:20, ,179.,180.
07/15/26 15:22, ,180.,180.
07/15/26 15:24, ,180.,180.
07/15/26 15:26, ,180.,180.
07/15/26 15:28, ,180.,180.
07/15/26 15:30, ,180.,180.
07/15/26 15:32, ,180.,180.
07/15/26 15:34, ,180.,180.
07/15/26 15:36, ,180.,180.
07/15/26 15:38, ,180.,180.
07/15/26 15:40, ,180.,180.
07/15/26 15:42, ,180.,180.
07/15/26 15:44, ,180.,180.
07/15/26 15:46, ,180.,180.
07/15/26 15:48, ,180.,180.
07/15/26 15:50, ,179.,180.
07/15/26 15:52, ,180.,180.
07/15/26 15:54, ,180.,180.
07/15/26 15:56, ,180.,180.
07/15/26 15:58, ,180.,180.
07/15/26 16:00, ,180.,180.
07/15/26 16:02, ,180.,180.
07/15/26 16:04, ,180.,180.
07/15/26 16:06, ,180.,180.
07/15/26 16:08, ,180.,180.
07/15/26 16:10, ,180.,180.
07/15/26 16:12, ,180.,180.
07/15/26 16:14, ,180.,180.
07/15/26 16:16, ,180.,180.
07/15/26 16:18, ,180.,180.
07/15/26 16:20, ,180.,180.
07/15/26 16:22, ,180.,180.
07/15/26 16:24, ,180.,180.
07/15/26 16:26, ,180.,180.
07/15/26 16:28, ,180.,180.
07/15/26 16:30, ,180.,180.
07/15/26 16:32, ,180.,180.
07/15/26 16:34, ,180.,180.
07/15/26 16:36, ,180.,180.
07/15/26 16:38, ,179.,180.
07/15/26 16:40, ,181.,180.
07/15/26 16:42, ,180.,180.
07/15/26 16:44, ,180.,180.
07/15/26 16:46, ,180.,180.
07/15/26 16:48, ,180.,180.
07/15/26 16:50, ,180.,180.
07/15/26 16:52, ,180.,180.
07/15/26 16:54, ,180.,180.
07/15/26 16:56, ,180.,180.
07/15/26 16:58, ,180.,180.
07/15/26 17:00, ,180.,180.
07/15/26 17:02, ,180.,180.
07/15/26 17:04, ,180.,180.
07/15/26 17:06, ,180.,180.
07/15/26 17:08, ,180.,180.
07/15/26 17:10, ,180.,180.
07/15/26 17:12, ,180.,180.
07/15/26 17:14, ,180.,180.
07/15/26 17:16, ,180.,180.
07/15/26 17:18, ,179.,180.
07/15/26 17:20, ,180.,180.
07/15/26 17:22, ,180.,180.
07/15/26 17:24, ,180.,180.
07/15/26 17:26, ,180.,180.
07/15/26 17:28, ,180.,180.
07/15/26 17:30, ,180.,180.
07/15/26 17:32, ,181.,180.
07/15/26 17:34, ,179.,180.
07/15/26 17:36, ,180.,180.
07/15/26 17:38, ,180.,180.
07/15/26 17:40, ,180.,180.
07/15/26 17:42, ,180.,180.
07/15/26 17:44, ,180.,180.
07/15/26 17:46, ,180.,180.
07/15/26 17:48, ,181.,180.
07/15/26 17:50, ,180.,180.
07/15/26 17:52, ,180.,180.
07/15/26 17:54, ,180.,180.
07/15/26 17:56, ,179.,180.
07/15/26 17:58, ,180.,180.
07/15/26 18:00, ,180.,180.
07/15/26 18:02, ,95.,120.
07/15/26 18:04, ,101.,120.
07/15/26 18:06, ,117.,120.
07/15/26 18:08, ,120.,120.
07/15/26 18:10, ,120.,120.
07/15/26 18:12, ,119.,120.
07/15/26 18:14, ,120.,120.
07/15/26 18:16, ,119.,120.
07/15/26 18:18, ,120.,120.
07/15/26 18:20, ,120.,120.
07/15/26 18:22, ,120.,120.
07/15/26 18:24, ,120.,120.
07/15/26 18:26, , ,120.
07/15/26 18:28, ,120.,120.
07/15/26 18:30, ,120.,120.
07/15/26 18:32, ,120.,120.
07/15/26 18:34, ,120.,120.
07/15/26 18:36, ,120.,120.
07/15/26 18:38, ,120.,120.
07/15/26 18:40, , ,120.
07/15/26 18:42, ,120.,120.
07/15/26 18:44, ,120.,120.
07/15/26 18:46, ,119.,120.
07/15/26 18:48, ,120.,120.
07/15/26 18:50, ,120.,120.
07/15/26 18:52, ,121.,120.
07/15/26 18:54, , , 
07/15/26 18:56, ,120.,120.
07/15/26 18:58, ,120.,120.
07/15/26 19:00, ,120.,120.
07/15/26 19:02, ,120.,120.
07/15/26 19:04, ,120.,120.
07/15/26 19:06, ,120.,120.
07/15/26 19:08, , ,120.
07/15/26 19:10, ,120.,120.
07/15/26 19:12, ,120.,120.
07/15/26 19:14, ,120.,120.
07/15/26 19:16, ,120.,120.
07/15/26 19:18, ,120.,120.
07/15/26 19:20, ,120.,120.
07/15/26 19:22, ,120.,120.
07/15/26 19:24, ,120.,120.
07/15/26 19:26, ,120.,120.
07/15/26 19:28, ,120.,120.
07/15/26 19:30, ,119.,120.
07/15/26 19:32, ,120.,120.
07/15/26 19:34, ,120.,120.
07/15/26 19:36, ,120.,120.
07/15/26 19:38, ,120.,120.
07/15/26 19:40, ,120.,120.
07/15/26 19:42, ,120.,120.
07/15/26 19:44, ,120.,120.
07/15/26 19:46, ,120.,120.
07/15/26 19:48, ,120.,120.
07/15/26 19:50, ,120.,120.
07/15/26 19:52, , ,120.
07/15/26 19:54, ,120.,120.
07/15/26 19:56, ,120.,120.
07/15/26 19:58, ,120.,120.
07/15/26 20:00, ,120.,120.
07/15/26 20:02, ,120.,120.
07/15/26 20:04, ,120.,120.
07/15/26 20:06, ,120.,120.
07/15/26 20:08, ,120.,120.
07/15/26 20:10, ,120.,120.
07/15/26 20:12, ,121.,120.
07/15/26 20:14, ,120.,120.
07/15/26 20:16, ,120.,120.
07/15/26 20:18, ,120.,120.
07/15/26 20:20, ,120.,120.
07/15/26 20:22, ,120.,120.
07/15/26 20:24, ,120.,120.
07/15/26 20:26, ,120.,120.
07/15/26 20:28, ,120.,120.
07/15/26 20:30, ,121.,120.
07/15/26 20:32, ,119.,120.
07/15/26 20:34, ,120., 
07/15/26 20:36, ,120.,120.
07/15/26 20:38, ,120.,120.
07/15/26 20:40, ,120.,120.
07/15/26 20:42, ,120.,120.
07/15/26 20:44, ,120.,120.
07/15/26 20:46, ,120.,120.
07/15/26 20:48, ,120., 
07/15/26 20:50, ,120.,120.
07/15/26 20:52, ,119.,120.
07/15/26 20:54, ,120.,120.
07/15/26 20:56, ,120.,120.
07/15/26 20:58, ,120.,120.
07/15/26 21:00, ,120.,120.
07/15/26 21:02, ,120.,120.
07/15/26 21:04, ,78.,80.
07/15/26 21:06, ,78.,80.
07/15/26 21:08, ,79.,80.
07/15/26 21:10, ,80.,80.
07/15/26 21:12, ,80.,80.
07/15/26 21:14, ,80.,80.
07/15/26 21:16, ,80.,80.
07/15/26 21:18, ,81.,80.
07/15/26 21:20, ,80.,80.
07/15/26 21:22, , ,80.
07/15/26 21:24, ,80.,80.
07/15/26 21:26, ,80.,80.
07/15/26 21:28, ,80.,80.
07/15/26 21:30, ,80.,80.
07/15/26 21:32, ,80.,80.
07/15/26 21:34, ,80.,80.
07/15/26 21:36, , ,80.
07/15/26 21:38, ,80.,80.
07/15/26 21:40, ,80.,80.
07/15/26 21:42, ,80.,80.
07/15/26 21:44, ,80.,80.
07/15/26 21:46, ,80.,80.
07/15/26 21:48, ,80.,80.
07/15/26 21:50, ,80.,80.
07/15/26 21:52, ,80.,80.
