contaminante,periodo,nivel,inicio,fin,duracion_minutos
NO,nivel,1,00:00,01:00,60
NO,estabilizacion,,01:00,01:40,40
NO,nivel,2,01:40,04:30,170
NO,estabilizacion,,04:30,05:45,75
NO,nivel,3,05:45,08:45,180
NO,estabilizacion,,08:45,08:55,10
NO,nivel,4,08:55,11:45,170
NO,estabilizacion,,11:45,11:55,10
NO,nivel,5,11:55,14:46,171
NO2,nivel,1,00:00,01:00,60
NO2,estabilizacion,,01:00,01:40,40
NO2,nivel,2,01:40,04:00,140
NO2,estabilizacion,,04:00,04:10,10
NO2,nivel,3,04:10,07:00,170
NO2,estabilizacion,,07:00,07:10,10
NO2,nivel,4,07:10,10:00,170
NO2,estabilizacion,,10:00,10:10,10
NO2,nivel,5,10:10,13:01,171
O3,nivel,1,00:00,01:00,60
O3,estabilizacion,,01:00,01:40,40
O3,nivel,2,01:40,04:30,170
O3,estabilizacion,,04:30,04:40,10
O3,nivel,3,04:40,07:30,170
O3,estabilizacion,,07:30,07:40,10
O3,nivel,4,07:40,10:30,170
O3,estabilizacion,,10:30,10:40,10
O3,nivel,5,10:40,13:31,171
