Grupo,Etiqueta_eng,Etiqueta Sugerida,Descripcion,Utilidad para el Líder de Proyecto,Categoria_Journal
1. ACCIÓN REQUERIDA,[ACTION] Approval,[ACCION] Aprobación,"Contiene solicitudes que requieren una validación formal (ej. aprobación de un presupuesto, visto bueno a un diseño) para que una tarea pueda continuar.","Permite crear un filtro de ""tareas pendientes"" críticas. Ayuda a identificar y eliminar bloqueos que dependan directamente de tu decisión.",[[Gestión Administrativa]]
,[ACTION] Decision,[ACCION] Decisión,Documenta una decisión importante que ha sido tomada y comunicada. Sirve como un registro oficial de las elecciones hechas durante el proyecto.,Crea un archivo histórico de decisiones. Facilita la consulta futura para entender el porqué de una acción y respalda la coherencia del proyecto.,[[Gestión Administrativa]]
2. GESTIÓN FINANCIERA,Finance - Quote,Finanzas - Cotización,"Incluye propuestas de costos, estimaciones y presupuestos recibidos de proveedores o consultores.","Centraliza todas las opciones de gasto en un solo lugar, facilitando la comparación, la negociación y la planificación del presupuesto.",[[Gestión Administrativa]]
,Finance - Contracting,Finanzas - Contratación,"Agrupa contratos, acuerdos de servicio, órdenes de compra y toda la documentación legal relacionada con la formalización de un servicio.","Organiza la documentación legal crítica del proyecto, asegura el cumplimiento de los acuerdos y facilita las auditorías o consultas legales.",[[Gestión Administrativa]]
,Finance - Invoice/Billing,Finanzas - Factura/Cobro,"Contiene facturas recibidas para pago o enviadas a clientes, junto con sus respectivos comprobantes y notificaciones.","Permite un control preciso del flujo de caja, el estado de los pagos y el seguimiento del presupuesto ejecutado contra el planificado.",[[Gestión Administrativa]]
,Finance - Quote - Equipment,Finanzas - Cotización - Equipos,"Subtag: cotizaciones específicas de equipos de medición o calibradores.","Separar cotizaciones técnicas de servicios generales.",[[Gestión Administrativa]]
,Finance - Contracting - Service,Finanzas - Contratación - Servicio,"Subtag: contratos de prestación de servicios (consultorías, mantenimiento).","Diferenciar de contratos de compra de bienes.",[[Gestión Administrativa]]
3. SEGUIMIENTO Y ENTREGAS,Tracking - Deliverable,Seguimiento - Entregable,"Marca el envío o recepción de los productos, documentos o hitos finales del proyecto (ej. un informe final, el código de una funcionalidad).","Facilita la localización inmediata de los resultados tangibles del proyecto, esencial para presentaciones de avance o para el cierre del proyecto.",[[Prueba Piloto]]
,Tracking - Report,Seguimiento - Reporte,"Contiene informes de avance, dashboards de métricas, análisis de rendimiento o cualquier actualización formal sobre el estado del proyecto.","Permite un acceso rápido a la ""fotografía"" actual del proyecto, ayudando a preparar reuniones y a comunicar el progreso a los stakeholders.",[[Prueba Piloto]]
,Tracking - Risk/Issue,Seguimiento - Riesgo/Problema,"Almacena cualquier comunicación que alerte sobre un posible riesgo, un obstáculo inesperado o un problema que ya está impactando al proyecto.",Crea un radar de amenazas. Ayuda a gestionar proactivamente los problemas antes de que escalen y a mantener un registro de los desafíos del proyecto.,[[Prueba Piloto]]
